transactionId,userId,amount,timestamp,type,details,location
t001,u001,250.00,2025-09-01T14:00:00,CREDIT_CARD,5555-Mastercard,Baku
t002,u003,1200.50,2025-09-01T15:10:00,BANK_TRANSFER,AZ10B...,Sumqayit
t003,u004,85.20,2025-09-02T09:00:00,CREDIT_CARD,4111-Visa,Baku
t004,u007,45.00,2025-09-02T11:20:00,CREDIT_CARD,5222-Mastercard,Ganja
t005,u010,150.00,2025-09-03T12:00:00,CREDIT_CARD,4888-Visa,Baku
t006,u007,95.75,2025-09-03T16:45:00,CREDIT_CARD,5222-Mastercard,Ganja
t007,u010,500.00,2025-09-04T20:00:00,BANK_TRANSFER,AZ40E...,Ankara
t008,u003,850.00,2025-09-04T21:30:00,BANK_TRANSFER,AZ10B...,Sumqayit
t009,u002,450.00,2025-09-05T10:00:00,CREDIT_CARD,4222-Visa,Baku
t010,u002,300.00,2025-09-05T10:45:00,CREDIT_CARD,4222-Visa,Istanbul
t011,u005,7800.00,2025-09-05T11:30:00,BANK_TRANSFER,AZ50F...,Baku
t012,u006,120.00,2025-09-05T14:00:00,CREDIT_CARD,5333-Mastercard,Ganja
t013,u006,210.00,2025-09-05T14:25:00,CREDIT_CARD,5333-Mastercard,Dubai
t014,u001,9250.00,2025-09-05T16:00:00,BANK_TRANSFER,AZ60G...,London
t015,u008,125.00,2025-09-05T19:00:00,BANK_TRANSFER,AZ20C...,Baku
t016,u008,90.00,2025-09-05T19:30:00,CREDIT_CARD,4999-Visa,Moscow
t017,u004,5001.00,2025-09-05T20:15:00,CREDIT_CARD,4111-Visa,Shaki
t018,u009,6500.00,2025-09-05T21:00:00,BANK_TRANSFER,AZ30D...,Berlin
t019,u009,50.00,2025-09-05T21:15:00,CREDIT_CARD,5888-Mastercard,Paris
